0,1,2,3,4,5,6,7
,"A
All India Procurement of Paddy/Rice duringK MS2 024-25",,,,,,
,"5
As on 18.06.2026 (Figures inL MT)",,,,,,
Crop,,"Rice
Procurement
Estimates
duringK MS
2025-26
(Estimates in
terms of Paddy)","2
KMS 2025-26",,"5
KMS2 024-25",,
,,,".
Progressive
Paddy 0
procurement","3
Progressive
procurementi n
1
terms of R ice
(Percentage of
target achieved)",":
0
Progressive
Corresponding
paddy
Procurement","Progressive
Corresponding
Procurement i n
terms ofR ice",
Kharif,,"485.95
(722.99)","4
.
714.36","6
2
480.17
(98.81%)",686.16,460.88,
Rabi,,"1
81.57
(121.11)","0
104.43","70.25
(86.12%)",91.87,61.77,
"Kharif +
Rabi",,"2
.
567.52
(844.10)","2
-
818.79","550.42
(96.99%)",778.03,522.64,
